2022-08-16 04:00:52,657 INFO    MainThread:107732 [wandb_setup.py:_flush():76] Configure stats pid to 107732
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_setup.py:_flush():76] Loading settings from /home/asahi/.config/wandb/settings
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_setup.py:_flush():76] Loading settings from /home/asahi/mlm-manifold-mapping/wandb/settings
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lm_finetuning.py', 'program': 'lm_finetuning.py'}
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_init.py:_log_setup():461] Logging user logs to /home/asahi/mlm-manifold-mapping/wandb/run-20220816_040052-zlbkoc9b/logs/debug.log
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_init.py:_log_setup():462] Logging internal logs to /home/asahi/mlm-manifold-mapping/wandb/run-20220816_040052-zlbkoc9b/logs/debug-internal.log
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_init.py:init():495] calling init triggers
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_init.py:init():548] starting backend
2022-08-16 04:00:52,658 INFO    MainThread:107732 [wandb_init.py:init():552] setting up manager
2022-08-16 04:00:52,659 INFO    MainThread:107732 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-08-16 04:00:52,660 INFO    MainThread:107732 [wandb_init.py:init():558] backend started and connected
2022-08-16 04:00:52,662 INFO    MainThread:107732 [wandb_init.py:init():636] updated telemetry
2022-08-16 04:00:52,703 INFO    MainThread:107732 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-08-16 04:00:53,002 INFO    MainThread:107732 [wandb_run.py:_on_init():1982] communicating current version
2022-08-16 04:00:53,036 INFO    MainThread:107732 [wandb_run.py:_on_init():1986] got version response 
2022-08-16 04:00:53,036 INFO    MainThread:107732 [wandb_init.py:init():700] starting run threads in backend
2022-08-16 04:00:53,060 INFO    MainThread:107732 [wandb_run.py:_console_start():1962] atexit reg
2022-08-16 04:00:53,060 INFO    MainThread:107732 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-16 04:00:53,060 INFO    MainThread:107732 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-16 04:00:53,060 INFO    MainThread:107732 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-16 04:00:53,061 INFO    MainThread:107732 [wandb_init.py:init():732] run started, returning control to user process
